@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' san antonio cyber: cyberspace battlefield tehrans war - vancouver sun ',objective,0,2,0
' realizing tomorrow friday>>> realizing bellamy thing morning<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< ',objective,0,0,0
' wow drew peterson convicted september 6th murder 3rd wide body 4th wide smfh ',negative,3,1,0
' tomorrow swindon town aston villa. villa- fans nervous? #stfc ',neutral,0,0,0
' watch nigeria @52 gej pre recorded speech tomorrow live tape nta. @omojuwa ',objective,1,0,0
' check newly linked blog post guest speaker kate brodock @alexandramontg7 #newhousesm4 ',neutral,0,0,0
' gonna snatch leftover #halloween candy cvs tomorrow #letmeloveyou ',positive,0,1,0
' finished signing sat ',objective,0,0,0
' happy valentines day, artemis remembered. on! kind jerk forgot valentines day?for 5th year row? ',positive,2,1,0
' january cant wait royal rumble #wwe ',positive,0,0,0
' obama remains ~80% win todays 538 forecast. (80.8% decimal places.) ',positive,0,0,0
' 16th birthday taylor swift tickets. party, tickets. ',positive,1,0,0
' @mayhemmiller nick diaz da best! smoke weed day drop school 6th grade! fuck yeah! ',positive,0,1,0
' leaving 4th block joe class, yelled "joe" & looked me. interrupted talking 2 teacher whoops ',neutral,0,1,0
' october 17th - november 3rd, dont company fools performance woman black!! ',positive,0,0,0
' jenelle game tomorrow... ill die #missherlots #itsbeentolong #mybaby ',negative,0,2,0
' paper finished, cmas over, blake miranda dominated, accounting hw pushed wednesday. going bed happy :) ',positive,1,0,0
' blue jays managers: manny acta, sandy alomar jr, sal fasano, don wakamatsu, pat hentgen? #mlb ',positive,0,0,0
' friday night & notebook on.. better tissues ready! #lovestory #noah&ali #tears ',positive,1,0,0
' bj penn, shogun, nick diaz swick fighting card...should ppv fox?? dec. 8th cant wait . ',positive,0,0,0
' ryans going amsterdam tomorrow :( wahhh fuck ',negative,0,0,0
' knicks heat tomorrow. kicking season msg. ',objective,0,0,0
' saturday, phbmates cebu, performed britneys hits! basing picture, youll have... ',neutral,0,0,0
' muse jonathan ross brilliant. exciting news muse monday gotham records ',positive,1,0,0
' day filming dancing ice tomorrow, interesting. ',positive,0,0,0
' gotta hit lil cuzzo @giovannirbmg dis weekend...i righ errything straight...stay ',objective,0,0,0
' played mass 3 16times started 17th diffrence thia time default femshep xd ',objective,0,0,0
' wanna wah gwaan wednesdays tonite ',positive,0,0,0
' voted today. proudest vote questions 4 6. equal rights law. ',positive,1,0,0
' joe flaccoâ€™s total qbr, metric accounts qb does, 0.3 0-100 scale, lowest rating qb 2008 ',negative,0,0,0
' castle sun. staying tues. mother "it aint safe dere york wit sandy dere" fvck you, sandy. ',negative,1,0,0
' @greysonchance, asia, good morning! xo cant wait november 11. :-) ',positive,1,0,0
' kid saturday morning watching saved bell! watch soul train @ 12 ',neutral,1,0,0
' awesome tweetup (this time cebu) rafa-tard! great meeting @scorpio1641! you! you, monday. zubuchon us!!! ',positive,2,0,0
' tomorrow national kissing day. gonna eat entire bag hershey kisses call day. ',positive,0,0,1
' dance parties boys girls club closest ive clubbing. 4th grade girls dance better ',positive,3,0,0
' @thecivilwars reminder request guys sing kingdom thursday... safe sound ;) ',positive,2,0,0
' fifa league tables bit realistic. man utd relegation zone 15 games aston villa 2nd. ',positive,0,0,0
' pumped #niners #giants game sunday. guess kyle williams ',positive,0,1,0
' tomorrow halloween ........... trending? thankyou obvious lmfao ',positive,0,0,1
' #movienight tomorrow student union @ 8pm movie will safe house! #teamuapb ',objective,2,0,0
' gotta boyfriend december hell good & mended time valentines day here! lol! that!!! ',positive,1,1,0
' yall complaing allll dam time.. 3rd grade parker main baby <3 ',negative,0,0,1
' amazon: extra strength hair nutrient tablets, 60-tablets (packaging vary) viviscal 649 days top 1... ',neutral,1,0,1
' thinking couple days august; stone roses night kasabian, noel cribs next. doesnt better ',positive,1,0,1
' shit load typing. group better call queen tomorrow. ',neutral,1,0,0
' sos top comedy: ashwni dhir: mumbai, nov 1 (ians) forthcoming comedy "son sardaar" be... ',negative,1,1,0
' sandy disaster? reelect obama hell real disaster. rebuild sandy, 4 obama. ',negative,1,1,0
' smashing melons aint thingrt @doctorgc okay, noel gallagher playing louisville november 4th. going me? ',neutral,0,0,0
' buzzing game tomorrow, gong great atmosphere upset cards! bring aston villa! #stfc ',positive,1,2,0
' today tatum tuesday! retweet channing tatum! ',positive,0,0,0
' apple ceo extremely problems maps: source: --- sunday, september 30,... ',negative,0,2,0
' mom doesnt taylor swift. guess ill moving tomorrow. ',negative,1,1,0
' foot hurt ',negative,0,1,0
' jennifer hudson inspired makeup coming monday, excited turn ',positive,1,0,0
' headlines: nadal confirms mexican open february: rafael nadal plans play mexican open februa... ',objective,2,0,0
' sandy acting fool!!! safe driving ppl street lights down, trees, ',neutral,1,0,0
' today (july 28th 12) milk chocolate day. bring on. #milkchocolateday ',positive,0,0,0
' good luck infinitys iain veitch competes taiwan #ironman70.3 saturday ',positive,2,0,0
' rg cleared vikings game sunday #goodmood p.s. god rid cuntsniff cundiff? ',positive,0,2,0
' time order #halloween treats! deadline: 2pm cst today (with overnight shipping) arrive tomorrow! ---> ',positive,0,0,0
' gonna meet cast spartacus 7th! excited! ',positive,0,0,0
' rings define talent nowadays ?!-___- rt @jakemcwavynyc: @donmanolo_ @mr3spinal guys named 3 rings finals mvp ',negative,1,0,0
' early vote done! #obama #election2012 #4more #equality #vote #beheard ',positive,0,0,0
' victor cruz aint salsa game...hes overdue....its 4th quarter...its time ',neutral,0,0,0
' imma flight tomorrow.. denzels shit ',negative,0,0,0
' happened matt cardle um ',objective,0,0,0
' @laromabella @cngmusic figured haha. isnt competition though. ru great qb. teel records... ',negative,1,0,0
' sundays 5pm cst, tune "the sunday blues" underground radio. hour blues musical styles,... ',objective,0,0,0
' alright guys, mtl havlat, dont suprised trade sharks havlat mtl ... ',negative,0,0,0
' no14 - den 34; peyton eli meet super bowl denver york giants keep winning sunday ',positive,1,0,1
' fran paterno congenial media early years. age & betrayal media rift media. ',negative,1,2,0
' @scubaselia fancy going leonard cohen concert madre november 9? heavenly ',positive,2,0,0
' cut 6th period kevin didnt art himself, good friend! ',positive,1,1,0
' bruno mars song wicked. sounds cross police michael jackson. play 14 times/day..! ',negative,0,1,0
' good morning friends, nice friday love, peace, art mutual respect -:) ',positive,3,0,0
' hot! jim ross alicia fox will playing kendrick perkins celebrity poker tournament tomorrow afterno... ',objective,2,0,0
' dream high 2 better original! #gasp! ',positive,2,0,1
' rob lowe portrayed drew peterson, takes casey anthony prosecutor: monday revealed rob ... ',neutral,0,0,0
' picked december issue wdc yet? includes full in-depth review nikons d600,... ',positive,0,0,1
' 1 nov: duke kent - president, will attend mersey weaver district scout council presentation... ',neutral,1,0,0
' axl rose trending worldwide sat butt chair talk live tv drink water mug. bow down, peasants. ',negative,1,0,0
' forward going carrow tonight. time there, bale scored 2 3rd. extra time ',positive,0,0,0
' @lukeymoore good luck tomorrow! once. big david james harry redknapp started race. wore bomber jackets... ',positive,2,0,1
' deal hour $2622 & -- brazil, chile, uruguay & argentina tours w/air: april #deals ',neutral,1,0,0
' ben amos well @ hull city.another clean sheet charlton.he enjoying challenge playing regular 1st team fball. #mufc ',positive,2,1,0
' ideal christmas - earls court 14-18 november, partnered itv bring dancing ice life exhibition. ',neutral,2,0,0
' friday celebrate/mock love avril chad. ',positive,1,0,0
' ima order tickets senior bowl january ',objective,0,0,0
' amazon opened black friday store business news cheryl ceballos ',neutral,0,1,0
' wanna chapel hill tomorrow night going cold. ill work instead! ',neutral,0,1,0
' shopping bell game saturday . ',objective,0,1,0
' â€œ@jon_lolpez: sons anarchy spartacus ',neutral,0,1,0
' spain summons argentine ambassador oil dispute - spain warned argentina friday risks "an... ',negative,0,1,0
' monta ellis commits 1st foul! cold 2 missed fts, foul start q3. #bucks trail #bulls 70-60, mid q3. ',negative,0,2,0
' niggas 7th grade fights high school cant deal. ',negative,0,0,1
' davos coach del curto expects rick nash return tonight. davos fairly bad 10th table 9 points 10 gp. #nyrangers ',objective,1,1,0
' played rugby yesterday broken finger definitely worth pain game fun remember ',positive,3,2,0
' dear spurs, coc, champions league top 4. exist? ',negative,2,0,0
' tomorrow...walmart, target, walgreens, cvs, kroger, whoever..im coming discounted candy...be ready ;) ',positive,1,0,0
' dook tomorrow 27th... game weve waiting for... nc state ',positive,0,1,0
' smooth set 2 stacks grammys february. ',neutral,1,0,0
' delighted jenas own. boys girls. #nffc ',positive,1,0,0
' @dalykobos happy birthday sweetheart. days special, you. love, grammy ',positive,1,0,0
' assassinâ€™s creed 3, victim well time location death inspired real-life events. ',objective,1,1,0
' sang avril lavigne song talent 5th grade.. loved ',positive,1,0,0
' nadal parc des princes saturday!: big news! rafael nadal accepted invitation paris saint-germ... ',positive,0,0,1
' wildcat madness tomorrow! community pep rally! bell game! hope there! ',positive,1,1,0
' congrats @mizzousoccer mizzou beats kentucky 2-1! tigers advance face top-seed florida semis friday 6:30 pm! #mizsec ',positive,0,0,0
' destination thursdays premier league decided today, hall fame. ',objective,1,0,0
' foresaw ricky martin gay 3rd grade ',neutral,0,0,0
' tomorrow gonna stay game israel yay:d ',positive,0,1,0
' @gismccurdian well... won. congrats. week sleep didnt work excellent friends have. #mccurdiansfoughtfortheiridol ',positive,2,0,0
' gary neville little. ',negative,0,0,0
' cab 4th colorado.. twilight zone? better break glasses sure! ',neutral,1,1,0
' time offered watch notebook dont watch 5th time..too bad mom. ',negative,0,1,0
' playing club team college athlete??? ',neutral,0,0,0
' halloween over, read britains traditional guy fawkes night! remember remember 5th november! ',objective,1,0,0
' going scott peterson tomorrow brothers going sandusky paterno. insensitive party ever. fucks. ',neutral,0,1,0
' hows channel 4 celebrating 30th anniversary? pretending 20 years fucking good happened? ',negative,1,0,0
' @hcd_news official news nash thorton will play davos? going play 29th match? buy tickets italy? ',neutral,1,0,0
' anonymous asked: format unboxing video? album only? for... ',neutral,0,0,0
' @bobwildman good morning ! u? ',neutral,1,0,0
' okc thunder center kendrick perkins preseason wrist injury ',negative,0,1,0
' @real_liam_payne saturday buy ticket #tmhtour belgium! happy! :) ',positive,0,0,0
' dc tomorrow! stoked friends american, georgetown elsewhere. text free. #fb ',positive,1,0,0
' how?"@carlcjsmith: "@_schoolboyj: top 5 sg. 1a.kobe bryant 1b. dwyane wade 3.james harden 4.manu ginobli 5.joe johnson" lol gotta joke" ',neutral,1,1,0
' video 1st points anthony davis, lin, harden, rivers, drummond, harrison barnes & jrich teams ',objective,0,0,0
' @superskin"van full veteran kickers #redskins park tomorrow. word will cundiff." watch wide rt. ',neutral,2,0,1
' ball shit broken ankle sunday football army 1year callum "twat" ',negative,0,0,0
' nikon contest outlaws film images time (update monday) - - rules nikon photo contest ... ',positive,0,0,0
' serious sucking tonight harrys tomorrow :( @hellomnamesjim ',negative,0,1,0
' excited head #florida tomorrow. participating #tyrf #strikeforce sure fl 4 #mittromney. #tcot #txcot #dallasgop ',positive,2,0,0
' middle east online: washington - egypts islamist president, mohamed morsi, urged united states late sat... ',objective,0,0,0
' thoughts turning christmas & live bucks, talk dickens & christmas amersham library, 15 dec. ',objective,1,0,0
' skipping @bedbathbeyond shopping sprees huge mistake!! spend month store!! #smellsfordays #neednewknives? #hellyaa ',positive,0,0,1
' grey, texting, forward useless day tomorrow :) ',negative,0,1,0
' tomorrow nation kissing day. ladies, by. ',positive,0,0,0
' celeb spot tonight: jayne middlemiss @dirtyburger. care better that? possible? ',objective,2,1,0
' noel fielding greatest people alive. ',positive,1,0,0
' boy @young_simba12 man time shit places.. #gottaholditdowntho ',neutral,0,0,0
' dancing ice tour highlights sun going good :) ',positive,1,0,0
' spirit friday!fill halls school colors enjoy dress day! pj, yoga pants flip flops/backless shoes. poland! ',positive,2,0,0
' #7thingsaboutmybestfriend treating cookout tomorrow, thing jacksonville. @scorpio_lovinn ',positive,0,0,0
' wanna #shedseven boro 14th december?? 17.50 each. know, go. ',positive,0,0,0
' time tomorrow will en route san fran beautiful ladyfriend @kellyalbrecht. life pretty excellent. ',positive,3,0,0
' dont barrys unpopularity here. key player best team country older gerrard, carrick, lampard cole ',positive,1,0,2
' stocks greek crisis: shares closed lower wednesday, erasing earlier gains, market w... ',objective,0,0,0
' @cletisstump inmates settled night ... warden emotionally drained ... big hug tucking night ',negative,1,0,1
' met @kfreberg google+ hangout wednesday! cool meet youve cited paper :) ',positive,0,0,0
' @goldberg agree spearing christian 2nd best spear???? guy spear royal rumble. ',neutral,2,0,0
' beauty day athens, greece. trust youll exceptional friday are. love. ',positive,3,0,0
' jeremy lin picks 4th foul, turn over!!!! pistons hot folks!! ',positive,1,0,0
' better joe pa pet semetary... win agdin ',negative,1,0,0
' going tonight will young allen ginsberg. #halloween #terrible ',neutral,1,0,0
' activists demand release jharkhand tribal leader: delhi, nov 1 (ians) condemning arrest woman trib... ',negative,0,0,0
' ufc fuel tv 5 preliminary card preview: saturday, ufc fuel tv. coming ... #ufc #mma ',objective,0,0,0
' "may life day awesome pretend facebook"- will ferrell ',positive,2,1,0
' carriker out, golston injured expect baker time nt cofield slid end. baker play de well tho. ',positive,1,0,0
' search absconding rapist footballers: police: kolkata, nov 1 (ians) police ... @yahoonews ',objective,0,0,0
' acta ax. wrote managers hot seat tuesday ',negative,1,0,0
' obama good israel: tens millions americans will polls tuesday vote president ... ',positive,2,0,0
' today desperation day. mean. ',negative,0,1,0
' @eleanorjcalder hello, eleanor. will follow account @beacaresosa birthday 14th? please, regret it. ',positive,1,1,0
' republic day turkey 29 oct fire work awesome ',positive,1,0,0
' art hardest class ',neutral,0,0,0
' athens (reuters) - greek lawyers launched defense prominent journalist thursday charged break... ',neutral,2,0,0
' blues long shot grabbing defenseman #sabres. stewart key piece ',neutral,0,1,1
' nadal played 28 june, lost czech lukas rosol 6-7(9), 6-4, 6-4, 2-6, 6-4 wimbledon second round. ',objective,0,1,0
' @goicehogs girls @eurohawks_ traveling game germany tomorrow! help trip worthwhile!? :) ',positive,1,1,0
' @stefnaaay :c <3 ',positive,0,0,0
' rehearsal monday woman black summer sound music. ',objective,1,1,0
' "@louisvillejoke: december 29th will louisville fans kentucky best" ',positive,1,0,0
' "did andy carroll header? technique!" "cmon! technique. technique passing ball 5 yards 50 times." ',negative,0,0,0
' #howtopissagirloff stick dead goat letter box february 14th note written blood "happy valentines day" ',negative,0,2,0
' maths sit tuesday going champions league match etihad! buzzing! ',positive,0,0,0
' @jonathankimsing atwood sadat atwood suu kyi? ',neutral,0,0,0
' 100 proof absolut... annette? ',positive,0,0,0
' time listing red: "does diva avril lavigne?" 2nd - 54th time: cant.stop.listening. ',positive,0,0,0
' throw thursday picture michael jackson dont fuck faggot ass picture ',negative,0,1,0
' inter milan transfer rumours: 5 players linked san siro january: inter milan started new... ',neutral,0,0,0
' kind year kc. rivers 18 fantasy 3rd time season....for now. ',neutral,2,0,0
' @duck_noire forsberg, else. hopefully pick isnt traded sam gagner 7th rounder. ',positive,1,0,0
' cant wait negros explanation monday night!!! smh huh trust issues ',positive,1,0,0
' mehgan james bad girls club will building friday @selectlounge. express pass ',objective,1,1,0
' well, news: gonna phils studio nachtgeschrei january record album guys.... ',objective,0,0,0
' jerzy boy janowicz murray! going paris?! well masters 1000 winner. big 4 3rd round. ',positive,2,0,1
' @danawhite leprechaun joe silva @joshkoscheck pot head nick diaz december... ',objective,0,0,0
' bad times missed waterloo road thursday tenerife dont realise episode :( #notfair ',negative,0,1,0
' duke loose. duke johnson pounds 7 yard touchdown. #miami leads #vtech 27-12 4th. ',positive,0,0,0
' cool!!! criminal minds season 3 marathon on, tomorrow castle season 3 one. ',positive,0,1,0
' cant 69-93 #redsox going win postseason awards. ',positive,0,0,0
' @jennettemccurdy happy thursday jennette detroits #1 radio station wrom radio great weekend ahead love follow ',positive,3,0,0
' friday night lights mitt! #tcot #tlot #bcot #ccot #gop #nra #ocra #sgp #teaparty #twisters #breitbart #israel ',neutral,0,0,0
' leaving germany tomorrow : keep repeating , pinch ! ',positive,0,1,0
' preseason! basketball! #kubball mt @darnellmayberry cole aldrich will start place kendrick perkins rockets tomorrow night. ',positive,1,0,0
' sunday turning day play temple run. social life joke only. forever lvl 100000000. ',negative,1,0,0
' @mrddyer mate, lads enjoying andy carroll there? january? bit desperate! ',neutral,0,0,0
' sad times visiting hours over. @fastestfruit brought sketching materials iâ€™m #arrow sketch! ',neutral,0,1,0
' saturdays ufc fuel tv lot better scheduled undercard ufc 151. surprise 151 cancelled. ',positive,1,0,1
' dude..."@kbutter5: dook football, sun shines dogs a$$ days. #unc" ',negative,0,0,0
' @kolaptimusprime bet 5 bucks lions superbowl, thinks superbowl monday ',objective,0,0,0
' big mix people, channing tatum here, anthonee bercik, autographs tomorrow. ',negative,0,0,1
' tomorrow poll 5pm-which series dancing ice ur fave celeb+pro won series will shoutout ',neutral,1,0,0
' @achare3 plan tonight? ',objective,0,0,0
' born february close valentines. heart pains love guess imma crazy ',negative,2,3,0
' rare, 300kg meteorite discovered poland, biggest eastern europe provide clues earths core: ',positive,0,0,0
' tomorrow channel 4 30 years old. presenting channel 4 #spotify playlist. remember? #channel4 ',objective,0,0,0
' @aaronlinzy hello aaron, will israel tomorrow night? ',objective,1,0,0
' thursday exciting waterloo road stopped ',negative,1,0,0
' @richie_fenners @ben_jamin_whit sunday lads. won yetâ›³ ',neutral,0,0,0
' joe paterno 4th 40 years. #pennstate 4th today. #dizzyinhappyvalley ',objective,0,0,0
' smashing fifa atm won capital cup,1st league finals f.a cup champions league ',positive,0,0,0
' san antonio continues play tonight help parker 1st half & ginobili, itll great season! ',positive,2,0,0
' dress halloween costumes wednesday. sophia grace rosie building ladies gentleman. ',neutral,1,0,0
' excited concert royal theatre, mayo, tomorrow night ',positive,1,0,0
' rivers throw pick 3rd goal. thought ball. bolts lead 10-0 half. ',neutral,0,1,1
' las vegas 3rd ill election wynn lost business bogus obama comments. ',negative,0,3,0
' time twitter email pple bunch niggas....where hoes @twitter ? ',negative,0,0,0
' ricky martins fans interested joining sips, so. theme mustache 20oct sat tag #sexysoulsinterestingpics ',positive,1,0,0
' love bale scorer, 2nd time week #loveit ',positive,1,0,0
' trip fredonia works friday. play valentines table. msg details. ',neutral,0,0,0
' espn- indians fire manager acta games left: cleveland indians fired manager manny acta thursday,... ',objective,0,0,0
' scorcher fest returns duke huge day live music! years record 180 acts! sunday 18th... ',positive,1,0,1
' game 3 tomorrow!!! excited shit coming pro bowl haha ',positive,2,1,0
' sat cuppa coffee, watching jeremy kyle @susancallinanxd #lovely ',positive,0,0,0
' @pushplayjt @okcthunder traded @jharden13 monta ellis 1st round pick... #smh #bucks #thunde #bemilwaukee #buckspride ',neutral,0,0,0
' relax forbath.. text confirmation. conformation cundiff kicker. ',negative,1,0,0
' story party nail. salina gomez jammed finger night grammy awards. rock party toe today! ',neutral,0,0,0
' superbowl revel will finally released dvd nov 24th! day complete!!!! love bey ',positive,3,0,1
' going tonight sleeping 5:30 pm tomorrow, time durham duke game. ',objective,0,0,0
' safe sound #flibs well docks tomorrow! ',positive,3,0,0
' ive invited speak economic forum davos (@davos) january. thrilled honored. ',positive,0,0,0
' #watched dream high 2 episode 1, ill watch tomorrow episode :d .. ',positive,1,1,1
' awi amsterdam fridge. mmhmm tomorrow work ima ',negative,0,0,0
' @sherbetgal yeah xmas eve 2011 rabbit. girl rabbit dragon? :) hubby lao lang liao, jia 2014, lol. ',negative,0,0,1
' @willblackwriter follow. interesting book amazon, check ;) ',positive,1,0,0
' play born tomorrow ss will throw mouldy donuts flat bellamy shitey roulette wheel ',negative,1,1,0
' february 13th. "desperation day" magical night, ten self-esteem depraved enthusiasm two. :bd ',neutral,2,1,0
' @thehawk38 smell 2nd pro bowl boy! best safety league! shout solid legal hit! #thehawk4probowl ',positive,3,0,0
' ben amos well @hull .another clean sheet. enjoying challenge playing regular 1st team football. #mufc ',positive,2,1,0
' time trick treating niggas told big. ',negative,0,1,0
' @jaccogardner amsterdam tomorrow jacco? ',positive,0,0,0
' afterwork social @2552 s. king dr. 4-9 saturday. steppin,food, drinks. 5 days work sixth day relaxation. ',positive,0,0,0
' article 54: bro required bros official bro holidays; halloween, years eve, desperation day (february 13) ',objective,0,1,0
' channing tatum good actor sure hell dance #ayyyyye ',positive,3,1,0
' spending saturday night? currently sitting crying eyes vow. ',negative,0,0,0
' 2, it! ',negative,0,0,0
' dress rehearsal 11th night. apollo theatre, shaftesbury ave shakespeareâ€™s globe. intimate. mustnâ€™t shout! ',positive,0,0,0
' boys will promo sweden today (november 2nd) will perform sweden xf tonight, live stream ',objective,3,0,0
' tomorrow day early voting nevada. inspired vote early. dont choices. suck balls. ',negative,0,0,0
' austin rivers overrated dont 1st round ',negative,0,0,0
' 7 grammys swift. ',neutral,0,0,0
' basics foundation january listed, monday january 28th - right, australia day public... ',neutral,0,0,0
' andres wigan warning: wigan currently occupy 15th place premier league, andre villas-boas w... ',neutral,1,0,0
' mine @jiklopdaves 3rd year anniversary today. hurrah! ',positive,0,0,0
' left side weakness, 1st game young injury evra.. well evra evra. ',negative,1,2,0
' a1 live cebu waterfront cebu hotel casino november 23 #cebufinest ',positive,1,0,0
' sat watching celebrity juice 3rd time today mum. ',objective,1,0,0
' wearing jedpower band football today. havent won january. goes. :d @planetjedward ',positive,0,0,0
' yay!!! front will ferrells funny die 24th time! check out!... ',positive,2,0,0
' higgins "great experience young group meet premier league teams real highlight" "very young squad play sat" ',positive,2,0,0
' bucks backcourt mates brandon jennings monta ellis "little brother-big brother" talk sunday, jennings described it. ',neutral,0,0,0
' "@kbutter5: dook football, sun shines dogs a$$ days. #unc" dook... ',neutral,0,0,0
' yoooo @itzlavz & @_beeniee niggas paris 26th, plank night... ',neutral,0,0,0
' 10th annual colossal castle contest begun!: colossal castle contest longest running l... ',positive,2,0,0
' february 13th desperation day. ',negative,0,1,0
' national kissing day thursday! tf shit up??! ',negative,0,0,0
' georgetown playing jmu "secret scrimmage" saturday gmu marquette. (h/t @gmuhoops ) ',neutral,0,0,0
' @hamdahussein shell learn lol ',positive,0,0,1
' goodnight bots! tomorrow remember 106 & park, mobo twitter chat, david letterman @ritaora! good day bots! ',positive,1,0,0
' sheeran fucking loves minnesota tho taylor swift concert, will 7th time performing here, 4 1 year ',positive,2,0,0
' superbowl (21st) birthday. random fact day. ',neutral,0,0,1
' count day tomorrow shouldnt ! winans crazy -_- ',negative,0,1,0
' ghost rider 2 bullshit smh will red box tomorrow ',negative,1,0,0
' "birthday cake" gonna song leading 4th quarter, count it. ',positive,1,0,0
' price fights klitschko, theyll definitely wearing 10 ouncers. well bare knuckle. #price ',negative,2,0,0
' twitter night tomorrow bomb squad enjoy ur night love much! ',positive,2,1,0
' thinking thursday: affectionate worship will lead effective warfare! ~narda goodson, 2012 nardas nuggets ',positive,4,0,1
' imma brook lopez aggressive boards. 7 feet tall, cmon son ',neutral,1,1,0
' bulls season tips wednesday night sacramento kings. excited word. ',positive,1,0,0
' good day :) cant wait tomorrow kids dressed zachary !! ',positive,1,0,0
' @plumpytm xbox tomorrow! honestly cant wait! - friends competitive 3v3, cole man! ',positive,3,0,0
' centre suffering policy paralysis, alleges jayalalithaa: jayalalithaa tuesday charged upa go... #news ',negative,0,1,0
' eric arc elliott best rapper flatbush zombies. ',positive,1,0,0
' people complain relationships.< dont shut up. ',positive,0,1,0
' scott & evelyn swanson, work fema. happy host trick-treaters tonight, evelyn heads tomorrow ',positive,1,0,0
' cant wait move hawaii saturday! promotion, townhouse, car & myking... definitely happy girl :) ',positive,2,0,1
' elaborate bruh rt @von_illy: 2k most, fuckery real there... ',neutral,1,0,1
' ghost rider 2s bad movie compared 1st. ',negative,0,1,0
' westbound u.s.- ongoing bridge inspection- construction - delays - eastbound canada- trucks delay -cars delay ',neutral,0,0,0
' todays future news wood: free hawkeye lego toy cover murdochs sun ',objective,1,0,0
' rocking good girl @carrieunderwood gym. exactly rock treadmill, ask? well, involves ',positive,1,0,1
' parmas 3-1 roma: biabiany offside 1st pass attempt, ball stopped wet pitch received ball 2nd one! ',objective,0,0,0
' jennifer aniston & drew barrymore: fill blank!: 2012 lacma art + film gala sat... #hollywood #news ',objective,0,0,0
' @habrachadabra dont bust long dumb ass expectations remain should. guy guy guy guy chants. ',positive,0,2,0
' coming alsip tomorrow *begins texts ladies* ',objective,0,0,0
' ahhhhh laurens email!!! going snap tomorrow #beready ',positive,0,0,0
' astrology numerology host z. starman talks upcoming mercury retrograde november 6th -... ',neutral,0,0,0
' haye: vitali deal signed: david haye expects fight vita... click-1st-link! 2win ',neutral,1,1,0
' hey everyone! excited cosplay casino night tomorrow?! center social justice, our... ',positive,1,0,0
' ghost rider 2 pretty shit.. 1st honesty 2nd badly directed.. shaky camera style disorientating ',negative,2,2,0
' film developed walgreens? know? cmon boi ',neutral,0,0,0
' #new #shit 10 things friday: u.s. postal service, brink default second... #new #swag ',negative,0,0,0
' 10 ps4 launch games love see. hopes & dreams sony, gentle them: opm: console ... ',positive,5,0,0
' man, death mr.mitch lucker. rest peace. ',negative,0,1,0
' nickelodeon slimefest saturday 15th september hordern pavilion moore park feat. justice crew, stan walker ',neutral,1,0,0
' jinja safari hiccups, catch live thursday opossom white arrows blind tour ',objective,2,1,0
' ny? freedom khader adnan? awesome? so, better rally ny, feb 20 4:30-7:30 israeli embassy ',objective,3,0,0
' raleigh fayette counties winter storm watch late sunday late tuesday. higher... ',objective,0,1,0
' mass tomorrow retreat friday da homie @bradychant ',neutral,0,1,0
' well, monsoon coming north bomb squad midtown 15th. time go. ',neutral,0,1,0
' tomorrow going easy day. bib cards eng will 25 mins test math ',positive,2,0,0
' gotta wait friday knicks game #3seed ',objective,0,1,0
' oh. surprise? rt @nickiminaj: #vavavoom video premieres tomorrow e! news @ 7pm ',neutral,0,0,0
' someday ill party partyll named "angelos 18th" 2 years. turned sixteen college student ',positive,0,1,0
' thursday fifty countries international organisations will london conference on... ',objective,1,0,0
' damn. totally buy sun this. @michaelroston: future news again: free hawkeye lego murdochs sun ',positive,1,0,0
' @wsj: u.s. postal service reported $5.2 billion quarterly loss, cash.<-- sat mail will soon... ',negative,1,0,0
' havent watched ttoa eng yet. gotta sleep now. gonna watch tomorrow. (~o~)zz gud nite tlist. ',objective,0,0,0
' played song aint worry (album version) winans @myspace ',neutral,0,1,0
' se member alresford community choir share stage brit award winning @thebandblake sep 15 @trwinchester. exciting! ',positive,1,0,0
' nobel peace laureate jose ramos-horta warned monday syria risked somalia voiced pessim ... ',negative,1,0,0
' excited riris 7th studio album "unapologetic" album cover: pic.twitter.com/75swc2pd ',positive,1,0,0
' con-ed automated 8 days area. way! ',positive,0,0,0
' thursday fall love maya rudolph ',positive,1,1,0
' gunna snow. wc winter storm watch till 5pm tomorrow .. 80*f yesterday ',objective,0,1,0
' @alfredoflores follow @amandawanxo meet november 26. deserves meet you,crew & justin. shell bell center 4!. ',positive,0,0,0
' extra point good. dsu 28, morgan state 20 5:02 left 3rd quarter. ',negative,0,0,1
' matty implied max christmas song. lulu. durston. ',neutral,0,0,0
' tkts plan feb- announced support acts- labrinth rudimental!!!!this news tres happy ',positive,2,0,0
' three times grammy nominated, brit award nominee ivor novella winner joan armatrading takes stage sunday! ',positive,1,0,0
' spending hole friday wit bo blow sme keisha grab pack blacks watch battle lebron career vs. carmelo anthony ',objective,0,3,0
' congrats! enjoy! rt @cardboard_blake @caracarriveau @1019mixchciago tickets today!!! excited week!!! ',neutral,1,0,0
' scrubbin max tomorrow gotta work leave game. ',objective,0,0,0
' keep thinking fact mmg will lexington saturday there:((((( ',negative,1,0,2
' mitt romneys terrifyingly spooky positions womens rights pic: ',objective,2,1,0
